"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","296-96","ES-CHC077","Eli4","Eli5","Eli6","F3201","JUNP353","R26"
"aguA_1","","Agmatine deiminase","8","8","1","1","3615","","","","1124","1124","1124","NLLKMJFC_03366","HDAOFKCF_03420","HMFJPACF_03529","EPEFIPDD_03506","MPDNCGJB_03507","PEKAAFEB_03144","IEBEDNFC_03609","OGHJCHFL_00053"
"group_1023","","hypothetical protein","8","8","1","1","3592","","","","1283","1286","1284","NLLKMJFC_03376","HDAOFKCF_03430","HMFJPACF_03546","EPEFIPDD_03523","MPDNCGJB_03524","PEKAAFEB_03162","IEBEDNFC_03620","OGHJCHFL_00062"
"group_1025","","hypothetical protein","8","8","1","1","3579","","","","566","566","566","NLLKMJFC_03385","HDAOFKCF_03439","HMFJPACF_03554","EPEFIPDD_03531","MPDNCGJB_03532","PEKAAFEB_03170","IEBEDNFC_03629","OGHJCHFL_00071"
"phrA","","Deoxyribodipyrimidine photo-lyase","8","8","1","1","3568","","","","1298","1304","1301","NLLKMJFC_03393","HDAOFKCF_03448","HMFJPACF_03556","EPEFIPDD_03533","MPDNCGJB_03533","PEKAAFEB_03172","IEBEDNFC_03638","OGHJCHFL_00079"
"fabG_4","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","8","8","1","1","3559","","","","788","788","788","NLLKMJFC_03398","HDAOFKCF_03453","HMFJPACF_03561","EPEFIPDD_03538","MPDNCGJB_03538","PEKAAFEB_03177","IEBEDNFC_03643","OGHJCHFL_00084"
"group_103","","hypothetical protein","8","8","1","1","4014","","","","299","299","299","NLLKMJFC_03117","HDAOFKCF_03169","HMFJPACF_03270","EPEFIPDD_03215","MPDNCGJB_03216","PEKAAFEB_02890","IEBEDNFC_03268","OGHJCHFL_03620"
"group_1033","","hypothetical protein","8","8","1","1","3540","","","","566","566","566","NLLKMJFC_03414","HDAOFKCF_03469","HMFJPACF_03575","EPEFIPDD_03552","MPDNCGJB_03552","PEKAAFEB_03191","IEBEDNFC_03660","OGHJCHFL_00099"
"group_1034","","hypothetical protein","8","8","1","1","3536","","","","572","572","572","NLLKMJFC_03418","HDAOFKCF_03473","HMFJPACF_03579","EPEFIPDD_03556","MPDNCGJB_03556","PEKAAFEB_03195","IEBEDNFC_03664","OGHJCHFL_00103"
"blaVEB-1_2","","Beta-lactamase VEB-1","8","8","1","1","3531","","","","890","890","890","NLLKMJFC_03423","HDAOFKCF_03478","HMFJPACF_03583","EPEFIPDD_03560","MPDNCGJB_03560","PEKAAFEB_03198","IEBEDNFC_03669","OGHJCHFL_00108"
"polA","","DNA polymerase I","8","8","1","1","3889","","","","1550","2948","2721","NLLKMJFC_03223","HDAOFKCF_03275","HMFJPACF_03382","EPEFIPDD_03326","MPDNCGJB_03327","PEKAAFEB_03000","IEBEDNFC_03378","OGHJCHFL_03729"
"group_1040","","hypothetical protein","8","8","1","1","3137","","","","545","545","545","NLLKMJFC_03539","HDAOFKCF_03595","HMFJPACF_03590","EPEFIPDD_03567","MPDNCGJB_03567","PEKAAFEB_03208","IEBEDNFC_03679","OGHJCHFL_00117"
"czcD","","Metal cation efflux system protein CzcD","8","8","1","1","3139","","","","896","896","896","NLLKMJFC_03545","HDAOFKCF_03601","HMFJPACF_03592","EPEFIPDD_03569","MPDNCGJB_03569","PEKAAFEB_03217","IEBEDNFC_03681","OGHJCHFL_00119"
"group_1043","","hypothetical protein","8","8","1","1","3154","","","","1139","1139","1139","NLLKMJFC_03557","HDAOFKCF_03613","HMFJPACF_03603","EPEFIPDD_03580","MPDNCGJB_03581","PEKAAFEB_03229","IEBEDNFC_03697","OGHJCHFL_00130"
"group_1044","","hypothetical protein","8","8","1","1","3156","","","","365","365","365","NLLKMJFC_03558","HDAOFKCF_03614","HMFJPACF_03604","EPEFIPDD_03581","MPDNCGJB_03582","PEKAAFEB_03230","IEBEDNFC_03698","OGHJCHFL_00131"
"group_1046","","hypothetical protein","8","8","1","1","3160","","","","1487","1487","1487","NLLKMJFC_03561","HDAOFKCF_03617","HMFJPACF_03607","EPEFIPDD_03584","MPDNCGJB_03585","PEKAAFEB_03237","IEBEDNFC_03701","OGHJCHFL_00134"
"group_1048","","hypothetical protein","8","8","1","1","3174","","","","560","560","560","NLLKMJFC_03569","HDAOFKCF_03625","HMFJPACF_03617","EPEFIPDD_03594","MPDNCGJB_03595","PEKAAFEB_03247","IEBEDNFC_03710","OGHJCHFL_00143"
"group_1050","","hypothetical protein","8","8","1","1","3183","","","","1034","1169","1152","NLLKMJFC_03575","HDAOFKCF_03631","HMFJPACF_03622","EPEFIPDD_03599","MPDNCGJB_03600","PEKAAFEB_03254","IEBEDNFC_03718","OGHJCHFL_00148"
"group_1051","","hypothetical protein","8","8","1","1","3192","","","","488","488","488","NLLKMJFC_03584","HDAOFKCF_03640","HMFJPACF_03633","EPEFIPDD_03610","MPDNCGJB_03611","PEKAAFEB_03265","IEBEDNFC_03727","OGHJCHFL_00157"
"group_1052","","hypothetical protein","8","8","1","1","3197","","","","128","137","133","NLLKMJFC_03589","HDAOFKCF_03645","HMFJPACF_03638","EPEFIPDD_03615","MPDNCGJB_03616","PEKAAFEB_03270","IEBEDNFC_03732","OGHJCHFL_00162"
"group_1053","","hypothetical protein","8","8","1","1","3198","","","","1565","1565","1565","NLLKMJFC_03590","HDAOFKCF_03646","HMFJPACF_03639","EPEFIPDD_03616","MPDNCGJB_03617","PEKAAFEB_03271","IEBEDNFC_03733","OGHJCHFL_00163"
"group_1056","","hypothetical protein","8","8","1","1","3217","","","","368","368","368","NLLKMJFC_03599","HDAOFKCF_03655","HMFJPACF_03649","EPEFIPDD_03626","MPDNCGJB_03627","PEKAAFEB_03281","IEBEDNFC_03741","OGHJCHFL_00169"
"group_1057","","hypothetical protein","8","8","1","1","3226","","","","422","575","555","NLLKMJFC_03608","HDAOFKCF_03664","HMFJPACF_03658","EPEFIPDD_03635","MPDNCGJB_03636","PEKAAFEB_03290","IEBEDNFC_03750","OGHJCHFL_00178"
"group_1058","","hypothetical protein","8","8","1","1","3249","","","","881","917","912","NLLKMJFC_03629","HDAOFKCF_03685","HMFJPACF_03679","EPEFIPDD_03655","MPDNCGJB_03656","PEKAAFEB_03310","IEBEDNFC_03770","OGHJCHFL_00200"
"yhdN","","Aldo-keto reductase YhdN","8","8","1","1","3252","","","","983","983","983","NLLKMJFC_03632","HDAOFKCF_03688","HMFJPACF_03682","EPEFIPDD_03658","MPDNCGJB_03659","PEKAAFEB_03313","IEBEDNFC_03773","OGHJCHFL_00203"
"group_106","","hypothetical protein","8","8","1","1","3851","","","","827","881","833","NLLKMJFC_03258","HDAOFKCF_03310","HMFJPACF_03420","EPEFIPDD_03362","MPDNCGJB_03364","PEKAAFEB_03036","IEBEDNFC_03414","OGHJCHFL_03764"
"group_1060","","hypothetical protein","8","8","1","1","3258","","","","107","461","416","NLLKMJFC_03637","HDAOFKCF_03693","HMFJPACF_03689","EPEFIPDD_03665","MPDNCGJB_03666","PEKAAFEB_03320","IEBEDNFC_03778","OGHJCHFL_00208"
"group_1061","","hypothetical protein","8","8","1","1","3262","","","","1040","1040","1040","NLLKMJFC_03641","HDAOFKCF_03697","HMFJPACF_03693","EPEFIPDD_03669","MPDNCGJB_03670","PEKAAFEB_03324","IEBEDNFC_03782","OGHJCHFL_00212"
"dinG_3","","3'-5' exonuclease DinG","8","8","1","1","3268","","","","554","554","554","NLLKMJFC_03647","HDAOFKCF_03703","HMFJPACF_03699","EPEFIPDD_03675","MPDNCGJB_03676","PEKAAFEB_03330","IEBEDNFC_03788","OGHJCHFL_00218"
"group_1063","","hypothetical protein","8","8","1","1","3287","","","","803","803","803","NLLKMJFC_03664","HDAOFKCF_03720","HMFJPACF_03717","EPEFIPDD_03693","MPDNCGJB_03694","PEKAAFEB_03346","IEBEDNFC_03806","OGHJCHFL_00234"
"group_1064","","hypothetical protein","8","8","1","1","3300","","","","644","644","644","NLLKMJFC_03678","HDAOFKCF_03734","HMFJPACF_03728","EPEFIPDD_03704","MPDNCGJB_03705","PEKAAFEB_03358","IEBEDNFC_03820","OGHJCHFL_00245"
"group_1067","","hypothetical protein","8","8","1","1","3328","","","","605","911","834","NLLKMJFC_03702","HDAOFKCF_03758","HMFJPACF_03755","EPEFIPDD_03731","MPDNCGJB_03732","PEKAAFEB_03385","IEBEDNFC_03845","OGHJCHFL_00271"
"group_1068","","hypothetical protein","8","8","1","1","3333","","","","557","557","557","NLLKMJFC_03708","HDAOFKCF_03764","HMFJPACF_03760","EPEFIPDD_03736","MPDNCGJB_03737","PEKAAFEB_03390","IEBEDNFC_03850","OGHJCHFL_00276"
"yjdJ","","putative protein YjdJ","8","8","1","1","3339","","","","281","281","281","NLLKMJFC_03714","HDAOFKCF_03770","HMFJPACF_03766","EPEFIPDD_03742","MPDNCGJB_03743","PEKAAFEB_03396","IEBEDNFC_03856","OGHJCHFL_00282"
"ytnP_2","","putative quorum-quenching lactonase YtnP","8","8","1","1","3652","","","","647","722","693","NLLKMJFC_03335","HDAOFKCF_03389","HMFJPACF_03499","EPEFIPDD_03476","MPDNCGJB_03478","PEKAAFEB_03115","IEBEDNFC_03584","OGHJCHFL_00026"
"group_1070","","hypothetical protein","8","8","1","1","3346","","","","722","722","722","NLLKMJFC_03720","HDAOFKCF_03776","HMFJPACF_03772","EPEFIPDD_03748","MPDNCGJB_03749","PEKAAFEB_03402","IEBEDNFC_03862","OGHJCHFL_00288"
"group_1071","","hypothetical protein","8","8","1","1","3348","","","","395","422","418","NLLKMJFC_03722","HDAOFKCF_03778","HMFJPACF_03774","EPEFIPDD_03750","MPDNCGJB_03751","PEKAAFEB_03404","IEBEDNFC_03864","OGHJCHFL_00290"
"idi","","Isopentenyl-diphosphate Delta-isomerase","8","8","1","1","4602","","","","509","509","509","NLLKMJFC_03736","HDAOFKCF_03792","HMFJPACF_03787","EPEFIPDD_03763","MPDNCGJB_03764","PEKAAFEB_03416","IEBEDNFC_03877","OGHJCHFL_00305"
"mexA_3","","Multidrug resistance protein MexA","8","8","1","1","4603","","","","1172","1172","1172","NLLKMJFC_03737","HDAOFKCF_03793","HMFJPACF_03788","EPEFIPDD_03764","MPDNCGJB_03765","PEKAAFEB_03417","IEBEDNFC_03878","OGHJCHFL_00306"
"group_1074","","hypothetical protein","8","8","1","1","4613","","","","1070","1070","1070","NLLKMJFC_03746","HDAOFKCF_03802","HMFJPACF_03799","EPEFIPDD_03775","MPDNCGJB_03776","PEKAAFEB_03428","IEBEDNFC_03888","OGHJCHFL_00316"
"group_1076","","hypothetical protein","8","8","1","1","4621","","","","521","521","521","NLLKMJFC_03754","HDAOFKCF_03810","HMFJPACF_03808","EPEFIPDD_03784","MPDNCGJB_03785","PEKAAFEB_03437","IEBEDNFC_03896","OGHJCHFL_00324"
"group_1077","","hypothetical protein","8","8","1","1","4622","","","","608","608","608","NLLKMJFC_03755","HDAOFKCF_03811","HMFJPACF_03809","EPEFIPDD_03785","MPDNCGJB_03786","PEKAAFEB_03438","IEBEDNFC_03897","OGHJCHFL_00325"
"group_1078","","hypothetical protein","8","8","1","1","4623","","","","533","533","533","NLLKMJFC_03756","HDAOFKCF_03812","HMFJPACF_03810","EPEFIPDD_03786","MPDNCGJB_03787","PEKAAFEB_03439","IEBEDNFC_03898","OGHJCHFL_00326"
"cysL","","HTH-type transcriptional regulator CysL","8","8","1","1","4624","","","","893","893","893","NLLKMJFC_03757","HDAOFKCF_03813","HMFJPACF_03811","EPEFIPDD_03787","MPDNCGJB_03788","PEKAAFEB_03440","IEBEDNFC_03899","OGHJCHFL_00327"
"group_1080","","hypothetical protein","8","8","1","1","4625","","","","932","971","951","NLLKMJFC_03758","HDAOFKCF_03814","HMFJPACF_03812","EPEFIPDD_03788","MPDNCGJB_03789","PEKAAFEB_03441","IEBEDNFC_03900","OGHJCHFL_00328"
"group_1081","","hypothetical protein","8","8","1","1","4631","","","","632","632","632","NLLKMJFC_03761","HDAOFKCF_03817","HMFJPACF_03814","EPEFIPDD_03790","MPDNCGJB_03791","PEKAAFEB_03443","IEBEDNFC_03903","OGHJCHFL_00331"
"group_1083","","hypothetical protein","8","8","1","1","4655","","","","566","566","566","NLLKMJFC_03775","HDAOFKCF_03831","HMFJPACF_03830","EPEFIPDD_03806","MPDNCGJB_03807","PEKAAFEB_03458","IEBEDNFC_03921","OGHJCHFL_00346"
"group_1085","","hypothetical protein","8","8","1","1","4660","","","","230","272","256","NLLKMJFC_03781","HDAOFKCF_03837","HMFJPACF_03835","EPEFIPDD_03811","MPDNCGJB_03812","PEKAAFEB_03463","IEBEDNFC_03926","OGHJCHFL_00352"
"group_1086","","hypothetical protein","8","8","1","1","4665","","","","173","173","173","NLLKMJFC_03782","HDAOFKCF_03838","HMFJPACF_03836","EPEFIPDD_03812","MPDNCGJB_03813","PEKAAFEB_03464","IEBEDNFC_03927","OGHJCHFL_00353"
"group_1087","","hypothetical protein","8","8","1","1","4674","","","","1208","1208","1208","NLLKMJFC_03791","HDAOFKCF_03847","HMFJPACF_03847","EPEFIPDD_03823","MPDNCGJB_03824","PEKAAFEB_03472","IEBEDNFC_03934","OGHJCHFL_00361"
"trpA","","Tryptophan synthase alpha chain","8","8","1","1","4679","","","","728","728","728","NLLKMJFC_03798","HDAOFKCF_03854","HMFJPACF_03852","EPEFIPDD_03828","MPDNCGJB_03829","PEKAAFEB_03478","IEBEDNFC_03941","OGHJCHFL_00366"
"trpF","","N-(5'-phosphoribosyl)anthranilate isomerase","8","8","1","1","4682","","","","659","680","664","NLLKMJFC_03801","HDAOFKCF_03857","HMFJPACF_03854","EPEFIPDD_03830","MPDNCGJB_03831","PEKAAFEB_03480","IEBEDNFC_03943","OGHJCHFL_00368"
"trpC","","Indole-3-glycerol phosphate synthase","8","8","1","1","4683","","","","779","782","779","NLLKMJFC_03802","HDAOFKCF_03858","HMFJPACF_03855","EPEFIPDD_03831","MPDNCGJB_03832","PEKAAFEB_03481","IEBEDNFC_03944","OGHJCHFL_00369"
"pabA","","Aminodeoxychorismate synthase component 2","8","8","1","1","4685","","","","569","569","569","NLLKMJFC_03804","HDAOFKCF_03860","HMFJPACF_03857","EPEFIPDD_03833","MPDNCGJB_03834","PEKAAFEB_03483","IEBEDNFC_03946","OGHJCHFL_00371"
"group_110","","hypothetical protein","8","8","1","1","3214","","","","503","509","506","NLLKMJFC_03594","HDAOFKCF_03650","HMFJPACF_03647","EPEFIPDD_03624","MPDNCGJB_03625","PEKAAFEB_03279","IEBEDNFC_03738","OGHJCHFL_00167"
"group_1108","","hypothetical protein","8","8","1","1","4934","","","","749","749","749","NLLKMJFC_03895","HDAOFKCF_03912","HMFJPACF_03916","EPEFIPDD_03893","MPDNCGJB_03894","PEKAAFEB_03499","IEBEDNFC_04042","OGHJCHFL_00392"
"group_1109","","hypothetical protein","8","8","1","1","4941","","","","878","878","878","NLLKMJFC_03902","HDAOFKCF_03919","HMFJPACF_03923","EPEFIPDD_03900","MPDNCGJB_03901","PEKAAFEB_03506","IEBEDNFC_04049","OGHJCHFL_00399"
"group_111","","hypothetical protein","8","8","1","1","3309","","","","533","533","533","NLLKMJFC_03683","HDAOFKCF_03739","HMFJPACF_03736","EPEFIPDD_03712","MPDNCGJB_03713","PEKAAFEB_03366","IEBEDNFC_03826","OGHJCHFL_00251"
"moeZ_2","","putative adenylyltransferase/sulfurtransferase MoeZ","8","8","1","1","4943","","","","1043","1043","1043","NLLKMJFC_03904","HDAOFKCF_03921","HMFJPACF_03925","EPEFIPDD_03902","MPDNCGJB_03903","PEKAAFEB_03508","IEBEDNFC_04051","OGHJCHFL_00401"
"mobA","","Molybdenum cofactor guanylyltransferase","8","8","1","1","4944","","","","614","614","614","NLLKMJFC_03905","HDAOFKCF_03922","HMFJPACF_03926","EPEFIPDD_03903","MPDNCGJB_03904","PEKAAFEB_03509","IEBEDNFC_04052","OGHJCHFL_00402"
"moaA1","","GTP 3',8-cyclase 1","8","8","1","1","4948","","","","1040","1040","1040","NLLKMJFC_03909","HDAOFKCF_03926","HMFJPACF_03929","EPEFIPDD_03906","MPDNCGJB_03907","PEKAAFEB_03512","IEBEDNFC_04056","OGHJCHFL_00405"
"group_1113","","hypothetical protein","8","8","1","1","4957","","","","317","317","317","NLLKMJFC_03917","HDAOFKCF_03934","HMFJPACF_03937","EPEFIPDD_03914","MPDNCGJB_03915","PEKAAFEB_03520","IEBEDNFC_04064","OGHJCHFL_00413"
"group_1116","","hypothetical protein","8","8","1","1","4974","","","","554","554","554","NLLKMJFC_03932","HDAOFKCF_03949","HMFJPACF_03950","EPEFIPDD_03927","MPDNCGJB_03928","PEKAAFEB_03534","IEBEDNFC_04079","OGHJCHFL_00428"
"group_1118","","hypothetical protein","8","8","1","1","4984","","","","251","251","251","NLLKMJFC_03940","HDAOFKCF_03957","HMFJPACF_03959","EPEFIPDD_03936","MPDNCGJB_03937","PEKAAFEB_03545","IEBEDNFC_04087","OGHJCHFL_00438"
"group_1119","","hypothetical protein","8","8","1","1","4990","","","","884","884","884","NLLKMJFC_03946","HDAOFKCF_03963","HMFJPACF_03965","EPEFIPDD_03942","MPDNCGJB_03943","PEKAAFEB_03551","IEBEDNFC_04093","OGHJCHFL_00444"
"btuB_12","","Vitamin B12 transporter BtuB","8","8","1","1","1870","","","","2372","2384","2382","NLLKMJFC_02520","HDAOFKCF_02522","HMFJPACF_02660","EPEFIPDD_02606","MPDNCGJB_02607","PEKAAFEB_02194","IEBEDNFC_02592","OGHJCHFL_02952"
"htpX","","Protease HtpX","8","8","1","1","5034","","","","1790","2045","2010","NLLKMJFC_00026","HDAOFKCF_00027","HMFJPACF_00026","EPEFIPDD_00027","MPDNCGJB_00027","PEKAAFEB_03589","IEBEDNFC_00024","OGHJCHFL_00481"
"group_113","","hypothetical protein","8","8","1","1","4633","","","","215","827","750","NLLKMJFC_03763","HDAOFKCF_03819","HMFJPACF_03816","EPEFIPDD_03792","MPDNCGJB_03793","PEKAAFEB_03445","IEBEDNFC_03905","OGHJCHFL_00333"
"group_1132","","hypothetical protein","8","8","1","1","5258","","","","1613","1673","1636","NLLKMJFC_00237","HDAOFKCF_00238","HMFJPACF_00222","EPEFIPDD_00223","MPDNCGJB_00225","PEKAAFEB_03791","IEBEDNFC_00221","OGHJCHFL_00685"
"group_114","","hypothetical protein","8","8","1","1","4639","","","","257","350","291","NLLKMJFC_03766","HDAOFKCF_03822","HMFJPACF_03820","EPEFIPDD_03796","MPDNCGJB_03797","PEKAAFEB_03449","IEBEDNFC_03908","OGHJCHFL_00337"
"group_115","","hypothetical protein","8","8","1","1","4678","","","","311","320","315","NLLKMJFC_03797","HDAOFKCF_03853","HMFJPACF_03851","EPEFIPDD_03827","MPDNCGJB_03828","PEKAAFEB_03477","IEBEDNFC_03940","OGHJCHFL_00365"
"group_1156","","hypothetical protein","8","8","1","1","933","","","","1580","1583","1580","NLLKMJFC_00797","HDAOFKCF_00799","HMFJPACF_00797","EPEFIPDD_00799","MPDNCGJB_00803","PEKAAFEB_00395","IEBEDNFC_00723","OGHJCHFL_01274"
"group_116","","hypothetical protein","8","8","1","1","4932","","","","980","983","980","NLLKMJFC_03893","HDAOFKCF_03910","HMFJPACF_03914","EPEFIPDD_03891","MPDNCGJB_03892","PEKAAFEB_03497","IEBEDNFC_04040","OGHJCHFL_00390"
"sasA_7","","Adaptive-response sensory-kinase SasA","8","8","1","1","6248","","","","1778","1787","1781","NLLKMJFC_01075","HDAOFKCF_01078","HMFJPACF_01123","EPEFIPDD_01140","MPDNCGJB_01143","PEKAAFEB_00789","IEBEDNFC_01011","OGHJCHFL_01538"
"group_1182","","hypothetical protein","8","8","1","1","6541","","","","185","194","188","NLLKMJFC_01180","HDAOFKCF_01182","HMFJPACF_01225","EPEFIPDD_01243","MPDNCGJB_01247","PEKAAFEB_00894","IEBEDNFC_01118","OGHJCHFL_01632"
"group_1184","","hypothetical protein","8","8","1","1","5740","","","","1334","1337","1335","NLLKMJFC_01819","HDAOFKCF_01821","HMFJPACF_01860","EPEFIPDD_01849","MPDNCGJB_01851","PEKAAFEB_01449","IEBEDNFC_01815","OGHJCHFL_02214"
"group_1192","","hypothetical protein","8","8","1","1","2589","","","","473","476","474","NLLKMJFC_01902","HDAOFKCF_01904","HMFJPACF_02025","EPEFIPDD_01970","MPDNCGJB_01972","PEKAAFEB_01538","IEBEDNFC_01920","OGHJCHFL_02318"
"group_1194","","Alanine racemase","8","8","1","1","2569","","","","2447","2450","2449","NLLKMJFC_01922","HDAOFKCF_01924","HMFJPACF_02046","EPEFIPDD_01991","MPDNCGJB_01993","PEKAAFEB_01559","IEBEDNFC_01940","OGHJCHFL_02338"
"group_12","","hypothetical protein","8","8","1","1","970","","","","383","578","553","NLLKMJFC_00836","HDAOFKCF_00838","HMFJPACF_00830","EPEFIPDD_00832","MPDNCGJB_00836","PEKAAFEB_00433","IEBEDNFC_00754","OGHJCHFL_01305"
